status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
for_sale,3.0,1.0,0.21,Sparta,New Jersey,7871.0,,1977-08-01,253000.0
for_sale,5.0,5.0,27.04,Fredon Township,New Jersey,7860.0,4226.0,1996-04-25,1235000.0
for_sale,2.0,3.0,,Hardyston,New Jersey,7419.0,,2009-09-28,290000.0
for_sale,4.0,3.0,0.6,Bushkill,Pennsylvania,18324.0,2457.0,2017-05-30,425000.0
for_sale,2.0,1.0,0.05,Bushkill,Pennsylvania,18324.0,897.0,1998-12-02,105000.0
for_sale,1.0,2.0,,Stanhope,New Jersey,7874.0,,2017-09-27,235000.0
for_sale,3.0,3.0,0.92,Vernon,New Jersey,7461.0,,2021-05-25,425000.0
for_sale,2.0,1.0,0.26,Sparta,New Jersey,7871.0,768.0,2021-04-09,245000.0
for_sale,3.0,2.0,0.71,Byram Township,New Jersey,7874.0,1398.0,2022-02-08,299900.0
for_sale,3.0,2.0,1.09,Hope,New Jersey,7825.0,,2015-07-27,308000.0
for_sale,3.0,1.0,0.35,Green Township,New Jersey,7821.0,,1999-06-28,250000.0
for_sale,3.0,3.0,0.25,Sparta,New Jersey,7871.0,,2005-07-25,400000.0
for_sale,3.0,2.0,0.2,Milford,Pennsylvania,18337.0,1860.0,2020-07-09,319000.0
for_sale,4.0,3.0,1.13,Milford,Pennsylvania,18337.0,2038.0,2020-12-29,449000.0
for_sale,,,0.96,Vernon,New Jersey,7419.0,,1987-06-14,76000.0
for_sale,4.0,3.0,6.55,Frelinghuysen,New Jersey,7821.0,,,509900.0
for_sale,3.0,1.0,0.14,Jefferson Township,New Jersey,7849.0,1020.0,,255000.0
for_sale,3.0,3.0,0.59,Lords Valley,Pennsylvania,18428.0,1400.0,2012-01-03,298804.0
for_sale,3.0,1.0,0.39,Wantage Township,New Jersey,7461.0,,2020-02-06,275000.0
for_sale,,,0.16,Byram Township,New Jersey,7874.0,,1998-03-10,29000.0
for_sale,4.0,3.0,1.2,Byram Township,New Jersey,7821.0,,2019-06-12,685000.0
for_sale,,,5.4,Lafayette,New Jersey,7848.0,,1998-12-10,195000.0
for_sale,5.0,2.0,0.12,Newton,New Jersey,7860.0,1608.0,2017-07-25,345000.0
for_sale,4.0,2.0,0.33,Newton,New Jersey,7860.0,,2020-11-13,345000.0
for_sale,,,0.37,Bushkill,Pennsylvania,12864.0,,,14900.0
for_sale,,,19.93,Fredon Township,New Jersey,7860.0,,2001-08-06,375000.0
for_sale,5.0,7.0,1.41,Hawley,Pennsylvania,18428.0,5514.0,,999000.0
for_sale,4.0,4.0,4.76,Shohola,Pennsylvania,18458.0,4090.0,,639000.0
for_sale,3.0,2.0,1.12,Milford,Pennsylvania,18337.0,3484.0,2009-04-15,275000.0
for_sale,2.0,1.0,0.45,Milford,Pennsylvania,18337.0,2305.0,2013-09-11,165000.0
for_sale,,,9.08,Sandyston,New Jersey,7826.0,,,98000.0
for_sale,4.0,4.0,0.58,Bushkill,Pennsylvania,18324.0,5103.0,,329000.0
for_sale,3.0,3.0,0.6,Lords Valley,Pennsylvania,18428.0,3425.0,,310000.0
for_sale,3.0,3.0,0.81,Bushkill,Pennsylvania,18324.0,2536.0,2016-08-30,300000.0
for_sale,3.0,2.0,0.69,Dingmans Ferry,Pennsylvania,18328.0,3540.0,2018-06-06,249900.0
for_sale,3.0,3.0,0.51,Bushkill,Pennsylvania,18324.0,1659.0,1987-05-07,189000.0
for_sale,3.0,2.0,0.27,Andover,New Jersey,7860.0,,2013-05-14,249000.0
for_sale,3.0,3.0,0.3,East Stroudsburg,Pennsylvania,18302.0,3214.0,2017-08-08,299999.0
